,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
475,Tom Krauß,,21,1.82,Germany,Leipzig,6,6,midfield - Central Midfield,6,right,FC Schalke 04,30/06/2023,01/07/2022,ROOF,adidas
476,Danny Latza,,33,1.79,Germany,Gelsenkirchen,0.6,5,midfield - Central Midfield,8,right,FC Schalke 04,30/06/2024,01/07/2021,feel soccer GmbH,
477,Soichiro Kozuki,上月 壮一郎,22,1.8,Japan,"Uji, Kyoto",0.6,0.6,midfield - Right Midfield,38,right,FC Schalke 04,30/06/2025,01/01/2023,PRO Profil GmbH,
478,Tobias Mohr,,27,1.83,Germany,Aachen,1.8,1.8,midfield - Left Midfield,29,left,FC Schalke 04,30/06/2025,01/07/2022,KL Sportsbase,
479,Rodrigo Zalazar,Rodrigo Zalazar Martínez,23,1.78,Uruguay,Albacete,3.5,3.5,midfield - Attacking Midfield,10,right,FC Schalke 04,30/06/2026,01/07/2022,CAA Stellar,
480,Dominick Drexler,,32,1.83,Germany,Bonn,0.9,4,midfield - Attacking Midfield,24,right,FC Schalke 04,30/06/2024,21/07/2021,11WINS,
481,Marius Bülter,,30,1.88,Germany,Ibbenbüren,2.5,3,Attack - Left Winger,11,right,FC Schalke 04,30/06/2024,01/07/2021,TPWE GmbH,adidas
482,Tim Skarke,,26,1.81,Germany,Heidenheim an der Brenz,1,1,Attack - Right Winger,20,right,FC Schalke 04,30/06/2023,23/01/2023,Unique Sports Group,
483,Michael Frey,,28,1.88,Switzerland,Münsingen,3,5,Attack - Centre-Forward,26,right,FC Schalke 04,30/06/2023,20/01/2023,Soccer Mondial AG,Puma
484,Sebastian Polter,,32,1.92,Germany,Wilhelmshaven,1.7,2.25,Attack - Centre-Forward,40,right,FC Schalke 04,30/06/2025,01/07/2022,PRO Profil GmbH,
485,Kenan Karaman,,29,1.89,Turkey,Stuttgart,1.4,3.5,Attack - Centre-Forward,19,right,FC Schalke 04,30/06/2025,01/09/2022,EMG Mundial,adidas
486,Simon Terodde,,35,1.92,Germany,Bocholt,1,4,Attack - Centre-Forward,9,right,FC Schalke 04,30/06/2023,01/07/2021,Sports360 GmbH,Puma
487,Manuel Riemann,Manuel Riemann-Lorenzen,34,1.86,Germany,Mühldorf am Inn,1.2,1.2,Goalkeeper,1,right,VfL Bochum,30/06/2025,01/07/2015,ROOF,
488,Marko Johansson,,24,1.94,Sweden,Malmö,0.5,0.9,Goalkeeper,26,right,VfL Bochum,30/06/2023,01/09/2022,BMS Sportconsulting ...,
489,Michael Esser,,35,1.98,Germany,Castrop-Rauxel,0.4,2,Goalkeeper,21,right,VfL Bochum,30/06/2024,01/07/2021,Robert Schneider,
490,Paul Grave,,22,1.93,Germany,Borken,0.1,0.1,Goalkeeper,34,right,VfL Bochum,,02/03/2019,FG Sports GmbH,
491,Erhan Masovic,Ерхан Машовић,24,1.89,Serbia,Novi Pazar,5,5,Defender - Centre-Back,4,both,VfL Bochum,30/06/2025,05/10/2020,Relatives,
492,Ivan Ordets,Ордець Іван Миколайович,30,1.95,Ukraine,"Blyzhnye, Donetsk Oblast",3.5,5,Defender - Centre-Back,20,right,VfL Bochum,30/06/2023,10/07/2022,Murza Eduard,
493,Keven Schlotterbeck,,26,1.89,Germany,Weinstadt,3,7.5,Defender - Centre-Back,31,left,VfL Bochum,30/06/2023,02/01/2023,Robert Schneider,
494,Dominique Heintz,,29,1.88,Germany,Neustadt an der Weinstraße,1.5,10,Defender - Centre-Back,30,left,VfL Bochum,30/06/2023,11/08/2022,Sports360 GmbH,
495,Vasilios Lampropoulos,Βασίλειος Λαμπρόπουλος,33,1.85,Greece,Pyrgos,0.5,1,Defender - Centre-Back,24,right,VfL Bochum,30/06/2023,14/08/2020,WoS,
496,Mohammed Tolba,محمد طلبه,18,1.85,Germany,Essen,0.2,0.2,Defender - Centre-Back,25,right,VfL Bochum,30/06/2025,01/07/2022,Wasserman,
497,Danilo Soares,Danilo Teodoro Soares,31,1.7,Brazil,Belo Horizonte,2.2,2.2,Defender - Left-Back,3,left,VfL Bochum,30/06/2024,01/07/2017,TDL Sports ...,
498,Konstantinos Stafylidis,Κωνσταντίνος Σταφυλίδης,29,1.78,Greece,Thessaloniki,1.8,4.5,Defender - Left-Back,16,left,VfL Bochum,30/06/2023,06/07/2022,ROGON,
499,Jordi Osei-Tutu,Jordi Martin Emmanuel Osei-Tutu,24,1.76,England,Slough,1.5,1.5,Defender - Right-Back,18,right,VfL Bochum,30/06/2025,01/07/2022,Unique Sports Group,
500,Saidy Janko,,27,1.81,The Gambia,Zürich,1,3,Defender - Right-Back,23,right,VfL Bochum,30/06/2023,01/07/2022,Signature - ISCM AG,
501,Cristian Gamboa,Cristian Esteban Gamboa Luna,33,1.75,Costa Rica,Liberia,0.7,2,Defender - Right-Back,2,right,VfL Bochum,30/06/2024,27/08/2019,Wasserman,
502,Jacek Goralski,Jacek Góralski,30,1.72,Poland,Bydgoszcz,1,3,midfield - Defensive Midfield,5,right,VfL Bochum,30/06/2024,01/07/2022,UNIDOS,
503,Anthony Losilla,,37,1.85,France,Firminy,0.5,0.9,midfield - Defensive Midfield,8,right,VfL Bochum,30/06/2024,01/07/2014,Soccertalk GmbH,
504,Patrick Osterhage,,23,1.86,Germany,Göttingen,2,2,midfield - Central Midfield,6,left,VfL Bochum,30/06/2026,01/07/2021,H.S.P. ...,Nike
505,Pierre Kunde,Pierre Kunde Malong,27,1.8,Cameroon,Limbé,2,10,midfield - Central Midfield,28,right,VfL Bochum,30/06/2023,06/01/2023,IS SPORTS AGENCY ...,
506,Kevin Stöger,,29,1.75,Austria,Steyr,2.5,6,midfield - Attacking Midfield,7,left,VfL Bochum,30/06/2024,01/07/2022,Relatives,
507,Philipp Förster,,28,1.88,Germany,Bretten,2.5,3.5,midfield - Attacking Midfield,10,left,VfL Bochum,30/06/2024,01/07/2022,ROOF,
508,Gerrit Holtmann,,28,1.85,Philippines,Bremen,3.5,4.5,Attack - Left Winger,17,left,VfL Bochum,30/06/2025,24/08/2020,Relatives,
509,Christopher Antwi-Adjei,,29,1.74,Ghana,Hagen,1.8,2,Attack - Left Winger,22,right,VfL Bochum,30/06/2024,01/07/2021,Kay Sports ...,
510,Takuma Asano,浅野 拓磨,28,1.73,Japan,"Komono, Mie",4,4,Attack - Right Winger,11,right,VfL Bochum,30/06/2024,01/07/2021,JEB ENTERTAINMENT ...,adidas
511,Philipp Hofmann,,30,1.95,Germany,Arnsberg,2.5,2.5,Attack - Centre-Forward,33,left,VfL Bochum,30/06/2024,01/07/2022,ROOF,
512,Simon Zoller,Simon Martin Zoller,31,1.79,Germany,Friedrichshafen,1.1,3,Attack - Centre-Forward,9,right,VfL Bochum,30/06/2024,01/01/2019,GoalSky,Puma
513,Silvère Ganvoula,Silvère Ganvoula M'boussy,26,1.91,Congo,Brazzaville,0.75,2.5,Attack - Centre-Forward,35,right,VfL Bochum,30/06/2023,05/07/2019,BY Sport Consulting,Puma
514,Moritz Broschinski,,22,1.9,Germany,Finsterwalde,0.5,0.5,Attack - Centre-Forward,29,right,VfL Bochum,30/06/2026,22/01/2023,Teamgeist ...,
